"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","4.440777","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","2.829891","0","3"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","1.369543","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","12.545257","0","9"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","4.567177","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","38.903702","0","33"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","9.370167","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","8.507214","0","5"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","6.455276","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","18.475979","0","14"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","1.160378","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","44.045547","0","42"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","788.243713","0","88"
"/InterchangeAssets/gltf/M_Default.M_Default","0","165","192","6","442.202881","0","192"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","41","46","6","53.815063","0","46"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","6","7","1","5.754265","0","7"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","37.156872","0","36"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","64.615288","0","63"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","63.392273","0","32"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","16.703407","0","12"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.431492","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","2.471495","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","1.660719","0","3"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","2.745396","0","2"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","2.062363","0","2"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","6","6","1","7.802920","0","6"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","82","92","6","91.219147","0","92"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","9","9","3","11.849322","0","9"
"/Game/Wood_Monster/Base/Materials/M_BaseComplex.M_BaseComplex","0","42","48","1","57.556900","0","48"
"/Game/Wood_Monster/Base/Materials/M_Base.M_Base","0","84","96","2","96.426559","0","96"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","102","112","6","193.165863","0","112"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","102","112","6","236.662842","0","112"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","28","28","2","388.694733","0","28"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","110","128","6","246.219727","0","128"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","12","14","1","18.798882","0","14"
